Provincia,codigo,Nombre Centro
Cádiz,11700721C,I.E.S. Blas Infante
Cádiz,11701048C,I.E.S. Castillo de Tempul
Cádiz,11700779C,I.E.S. Azahar
Cádiz,11005743C,I.E.S. Escuela de Hostelería San Roque
Cádiz,11005755C,I.E.S. José Cadalso
Cádiz,11007791C,I.E.S. Carlos Castilla del Pino
Cádiz,11005551C,I.E.S. Francisco Pacheco
Cádiz,11005639C,I.E.S. Doñana
Cádiz,11007685C,I.E.S. El Picacho
Cádiz,11700196C,I.E.S. Cristóbal Colón
Cádiz,11700615C,I.E.S. Juan Sebastián Elcano
Cádiz,11700871C,I.E.S. Botánico
Cádiz,11701188C,I.E.S. San Lucas
Cádiz,11701051C,I.E.S. Villa de Setenil
Cádiz,11701061C,I.E.S. Mar del Sur
Cádiz,11700585C,I.E.S. Almadraba
Cádiz,11700731C,I.E.S. Baelo Claudia
Córdoba,11700159C,I.E.S. Alventus
Cádiz,11006681C,I.E.S. Ntra. Sra. de los Remedios
Cádiz,11006693C,I.E.S. Las Cumbres
Cádiz,11700858C,I.E.S. Maestro Francisco Fatou
Cádiz,11700597C,I.E.S. La Janda
Cádiz,11007545C,I.E.S. Castillo de Matrera
Cádiz,11700743C,I.E.S. La Loma
Córdoba,14700471C,I.E.S. Luna de la Sierra
Córdoba,14002029C,I.E.S. Ipagro
Córdoba,14700390C,I.E.S. Vicente Núñez
Córdoba,14700481C,I.E.S. Puente de Alcolea
Córdoba,14008068C,I.E.S. Cárbula
Córdoba,14000483C,I.E.S. Luis Carrillo de Sotomayor
Córdoba,14700729C,I.E.S. Juan de Soto Alvarado
Córdoba,14700493C,I.E.S. José Alcántara (CdA)
Córdoba,14700501C,I.E.S. Don Diego de Bernuy
Córdoba,14000689C,I.E.S. Mario López
Córdoba,14000501C,I.E.S. Dionisio Alcalá Galiano
Córdoba,14000835C,I.E.S. Felipe Solís Villechenous
Córdoba,14000847C,I.E.S. Aguilar y Eslava
Córdoba,14700511C,I.E.S. Virgen del Campo
Córdoba,14700717C,I.E.S. Ategua
Córdoba,14000707C,I.E.S. El Tablero
Córdoba,14002261C,I.E.S. Rafael de la Hoz
